"food_id","name","common_names","dosha_impact","tastes","qualities","energy","season","calories_100g","carbs_100g","protein_100g","fat_100g","notes","source_id"
f_045,"Rajmah, red","Red Kidney Beans|Rajma","Vata,Kapha","sweet,astringent","heavy,dry",cooling,winter,300,48.61,19.91,1.77,"Heavy and Vata-aggravating. Needs strong digestion.",B020
f_046,"Tur dal","Red Gram Dal|Arhar Dal|Toor Dal|Kandi Pappu|Tuvaram Paruppu","Pitta,Kapha","sweet,astringent","light,dry",cooling,all,331,55.23,21.70,1.56,"Very common dal in India. Can be slightly Vata-aggravating.",B021
f_047,"Red gram, whole","Sabut Arhar|Tuvarai","Pitta,Kapha","sweet,astringent","heavy,dry",cooling,all,274,42.48,20.47,1.38,"Heavier than split dal.",B022
f_048,"Ricebean","Ricebean",Kapha,"sweet,astringent","light,dry",cooling,all,303,51.26,19.97,0.74,"Balances Kapha and Pitta.",B023
f_049,"Soybean, brown","Bhatmas",Kapha,"sweet,astringent","heavy,unctuous",heating,winter,382,12.79,35.58,19.82,"Very heavy and hard to digest. Increases Pitta and Kapha.",B024
f_050,"Soybean, white","Soybean",Kapha,"sweet,astringent","heavy,unctuous",heating,winter,377,10.16,37.80,19.42,"Very heavy and hard to digest. Increases Pitta and Kapha.",B025
f_051,"Agathi leaves","Agathi Keerai|Avise Akulu",Pitta,bitter,"light,dry",cooling,spring,71,5.21,8.01,1.35,"Very bitter and cooling. Excellent for Pitta. High in iron.",C001
f_052,"Amaranth leaves, green","Chaulai|Thandu Keerai|Thotakoora","Pitta,Kapha","sweet,astringent","light,dry",cooling,summer,31,2.28,3.29,0.65,"Cooling and cleansing.",C002
f_053,"Amaranth leaves, red","Lal Chaulai|Lal Thotakoora","Pitta,Kapha","sweet,astringent","light,dry",cooling,summer,34,2.37,3.93,0.63,"Similar to green amaranth.",C003
f_054,"Amaranth leaves, red and green mix","Chaulai","Pitta,Kapha","sweet,astringent","light,dry",cooling,summer,32,2.87,3.09,0.53,"Cooling and cleansing.",C004
f_055,"Amaranth, spined, leaves, green","Mulla Thotakoora|Mulaikeerai","Pitta,Kapha","sweet,astringent","light,dry",cooling,summer,26,1.61,3.54,0.36,"Slightly more 'rough' than other amaranth.",C005
f_056,"Amaranth, spined, leaves, red and green mix","Kantewali Chaulai","Pitta,Kapha","sweet,astringent","light,dry",cooling,summer,24,1.45,2.80,0.34,"Slightly more 'rough' than other amaranth.",C006
f_057,"Basella leaves","Pui Shaak|Bachhali","Pitta,Vata",sweet,"heavy,unctuous,slimy",cooling,monsoon,20,2.01,1.57,0.45,"Slimy quality is good for Vata and Pitta, but increases Kapha.",C007
f_058,"Bathua leaves","Bathua Sag|Paruppukkeerai","Vata,Pitta,Kapha","salty,sweet","light,sharp",heating,winter,28,2.56,2.50,0.44,"Warming leafy green, good for winter. Cleanses blood.",C008
f_059,"Beet greens","Beetroot Leaves","Pitta,Kapha","bitter,pungent","light,sharp",heating,winter,35,3.86,2.38,0.75,"Warming and cleansing. Increases Vata.",C009
f_060,"Betel leaves, big","Pan Patta|Vettilai","Kapha,Vata","pungent,bitter,astringent","light,sharp",heating,all,48,7.37,2.51,0.75,"Stimulates digestion. Increases Pitta.",C010
f_061,"Betel leaves, small","Pan Patta|Vettilai","Kapha,Vata","pungent,bitter,astringent","light,sharp",heating,all,44,6.16,2.62,0.75,"Stimulates digestion. Increases Pitta.",C011
f_062,"Brussels sprouts","Brussels Sprouts","Vata,Kapha","bitter,astringent","light,dry",cooling,"autumn,winter",44,5.09,4.26,0.50,"Very drying and light. Strongly aggravates Vata.",C012
f_063,"Cabbage, Chinese","Pak Choi","Kapha,Pitta","sweet,astringent","light,dry",cooling,winter,18,2.36,1.58,0.13,"Lighter and more Pitta-pacifying than green cabbage.",C013
f_064,"Cabbage, collard greens","Collard Greens","Kapha,Pitta","bitter,astringent","light,dry",cooling,winter,30,2.79,3.63,0.27,"Drying. Can increase Vata.",C014
f_065,"Cabbage, green","Bandh Gobi|Muttaikose","Kapha,Pitta","sweet,astringent","light,dry",cooling,winter,22,3.25,1.36,0.12,"Can be gassy and aggravate Vata.",C015
f_066,"Cabbage, violet","Red Cabbage|Lal Bandh Gobi","Kapha,Pitta","sweet,astringent","light,dry",cooling,winter,23,3.54,1.39,0.21,"Higher in antioxidants than green cabbage.",C016
f_067,"Cauliflower leaves","Phul Gobi Patta","Pitta,Kapha","bitter,astringent","light,dry",cooling,winter,35,3.39,3.90,0.42,"Bitter and cleansing.",C017
f_068,"Colocasia leaves, green","Arvi ka Patta|Chama Akulu","Vata,Pitta",sweet,"heavy,unctuous",cooling,monsoon,44,3.69,3.42,1.38,"Must be cooked well to remove oxalates. Increases Kapha.",C018
f_069,"Drumstick leaves","Moringa|Murungai Keerai","Kapha,Vata","bitter,pungent","light,dry,sharp",heating,all,67,5.62,6.41,1.64,"Highly nutritious. Very cleansing. Increases Pitta.",C019
f_070,"Fenugreek leaves","Methi|Vendhaiya Keerai","Kapha,Vata","bitter,pungent","light,dry",heating,winter,34,2.17,3.68,0.83,"Excellent for Kapha and Vata. Reduces blood sugar.",C020
f_071,"Garden cress","Halim|Alivirai Keerai","Vata,Kapha",pungent,"light,unctuous",heating,winter,50,4.48,5.62,0.80,"Warming and nourishing. Good for post-partum.",C021
f_072,"Gogu leaves, green","Gongura|Pulichai Keerai","Kapha,Pitta","sour,astringent","sharp,dry",heating,summer,36,4.06,1.86,1.09,"Sour and heating. Increases Pitta.",C022
f_073,"Gogu leaves, red","Gongura","Kapha,Pitta","sour,astringent","sharp,dry",heating,summer,37,4.24,1.85,1.07,"Sour and heating. Increases Pitta.",C023
f_074,"Knol-Khol, leaves","Ganth Gobi Sag|Noolkol Keerai","Pitta,Kapha","bitter,astringent","light,dry",cooling,winter,43,6.16,3.12,0.35,"Bitter and cleansing.",C024
f_075,"Lettuce","Lettuce",Pitta,"bitter,sweet","light,dry",cooling,spring,22,3.01,1.54,0.27,"Cooling and light. Can increase Vata.",C025
f_076,"Mustard leaves","Sarson ka Sag","Kapha,Vata","pungent,bitter","light,sharp,oily",heating,winter,30,2.41,3.52,0.51,"Very heating. Excellent for Kapha. Increases Pitta.",C026
f_077,"Pak Choi leaves","Bok Choy","Pitta,Kapha","sweet,bitter","light,dry",cooling,winter,16,1.78,1.41,0.25,"Cooling and light.",C027
f_078,"Parsley","Parsley","Kapha,Vata","pungent,bitter","light,dry",heating,spring,73,9.43,5.55,1.14,"Diuretic and cleansing. Increases Pitta.",C028
f_079,"Ponnaganni","Ponnaganti Koora|Ponnanganni Keerai",Pitta,"sweet,bitter","heavy,unctuous",cooling,all,51,5.17,5.29,0.71,"Cooling. Good for eyes and skin.",C029
f_080,"Pumpkin leaves, tender","Gummadi Akulu|Parangi Ilai","Pitta,Vata","sweet,bitter","light,dry",cooling,monsoon,44,4.75,4.21,0.74,"Mildly cleansing.",C030
f_081,"Radish leaves","Mooli ka Sag|Mullangi Keerai","Kapha,Vata","pungent,bitter","light,sharp",heating,winter,26,2.77,2.22,0.51,"Heating and cleansing. Increases Pitta.",C031
f_082,"Rumex leaves","Sorrel|Chukka Kura","Kapha,Pitta","sour,astringent","light,dry",heating,spring,20,2.33,1.62,0.33,"Sour and heating. Increases Pitta.",C032
f_083,"Spinach","Palak|Pasalai Keerai","Pitta,Kapha","astringent,sweet","heavy,unctuous",cooling,"winter,spring",24,2.05,2.14,0.64,"High in iron and oxalates. Best when cooked.",C033
f_084,"Tamarind leaves, tender","Chinta Chiguru|Puliam Ilai","Kapha,Pitta","sour,astringent","light,dry",heating,spring,72,10.04,5.84,0.49,"Sour and heating. Good appetizer.",C034
f_085,"Ash gourd","Winter Melon|Petha|Boodida Gummadi","Vata,Pitta,Kapha,Balancing",sweet,"light,unctuous",cooling,"autumn,winter",17,2.84,0.79,0.14,"Highly sattvic and cooling. Excellent for Pitta.",D001
f_086,"Bamboo shoot, tender","Baans|Moongil Kuruthu","Kapha,Pitta","astringent,sweet","light,dry",cooling,monsoon,16,1.67,1.33,0.35,"Drying. Can increase Vata.",D002
f_087,"Bean scarlet, tender","Scarlet Runner Beans","Vata,Kapha","sweet,astringent","heavy,dry",cooling,monsoon,43,5.16,2.86,0.99,"Can be gassy. Vata-aggravating.",D003
f_088,"Bitter gourd, long","Karela|Kakara Kaya|Paavakkai","Pitta,Kapha","bitter,pungent","light,dry",cooling,summer,21,2.82,1.44,0.24,"Excellent for Pitta and Kapha. Cleanses blood. Increases Vata.",D004
f_089,"Bitter gourd, short","Chota Karela|Uchhe","Pitta,Kapha","bitter,pungent","light,dry",cooling,summer,19,2.53,1.34,0.24,"Similar to long bitter gourd, often more bitter.",D005
f_090,"Bitter gourd, smooth ridge","Smooth Karela","Pitta,Kapha","bitter,pungent","light,dry",cooling,summer,19,2.29,1.61,0.26,"Milder than the jagged variety.",D006
f_091,"Bottle gourd, elongate","Lauki|Dudhi|Sorakaya",Pitta,sweet,"light,unctuous",cooling,summer,11,1.68,0.53,0.13,"Very cooling and easy to digest. Excellent for Pitta.",D007
f_092,"Bottle gourd, round","Lauki",Pitta,sweet,"light,unctuous",cooling,summer,14,2.53,0.42,0.12,"Very cooling and easy to digest. Excellent for Pitta.",D008
f_093,"Bottle gourd, dark green","Lauki",Pitta,sweet,"light,unctuous",cooling,summer,13,2.25,0.49,0.13,"Very cooling and easy to digest. Excellent for Pitta.",D009
f_094,"Brinjal-1","Eggplant|Baingan|Vankaya","Kapha,Vata","pungent,sweet","light,dry",heating,all,27,3.49,1.77,0.39,"Heating and drying. Can aggravate Pitta and Vata.",D010
f_095,"Brinjal-2","Eggplant|Baingan|Vankaya","Kapha,Vata","pungent,sweet","light,dry",heating,all,24,2.71,1.82,0.34,"Heating and drying. Can aggravate Pitta and Vata.",D011
f_096,"Brinjal-3","Eggplant|Baingan|Vankaya","Kapha,Vata","pungent,sweet","light,dry",heating,all,24,3.38,1.36,0.33,"Heating and drying. Can aggravate Pitta and Vata.",D012
f_097,"Brinjal-4","Eggplant|Baingan|Vankaya","Kapha,Vata","pungent,sweet","light,dry",heating,all,24,3.19,1.51,0.31,"Heating and drying. Can aggravate Pitta and Vata.",D013
f_098,"Brinjal-5","Eggplant|Baingan|Vankaya","Kapha,Vata","pungent,sweet","light,dry",heating,all,27,4.02,1.38,0.29,"Heating and drying. Can aggravate Pitta and Vata.",D014
f_099,"Brinjal-6","Eggplant|Baingan|Vankaya","Kapha,Vata","pungent,sweet","light,dry",heating,all,23,3.29,1.46,0.29,"Heating and drying. Can aggravate Pitta and Vata.",D015
f_100,"Brinjal-7","Eggplant|Baingan|Vankaya","Kapha,Vata","pungent,sweet","light,dry",heating,all,23,3.10,1.40,0.37,"Heating and drying. Can aggravate Pitta and Vata.",D016
f_101,"Brinjal-8","Eggplant|Baingan|Vankaya","Kapha,Vata","pungent,sweet","light,dry",heating,all,28,3.75,1.82,0.33,"Heating and drying. Can aggravate Pitta and Vata.",D017
f_102,"Brinjal-9","Eggplant|Baingan|Vankaya","Kapha,Vata","pungent,sweet","light,dry",heating,all,25,3.52,1.47,0.35,"Heating and drying. Can aggravate Pitta and Vata.",D018
f_103,"Brinjal-10","Eggplant|Baingan|Vankaya","Kapha,Vata","pungent,sweet","light,dry",heating,all,28,4.08,1.68,0.25,"Heating and drying. Can aggravate Pitta and Vata.",D019
f_104,"Brinjal-11","Eggplant|Baingan|Vankaya","Kapha,Vata","pungent,sweet","light,dry",heating,all,25,3.53,1.43,0.31,"Heating and drying. Can aggravate Pitta and Vata.",D020
f_105,"Brinjal-12","Eggplant|Baingan|Vankaya","Kapha,Vata","pungent,sweet","light,dry",heating,all,22,2.73,1.60,0.27,"Heating and drying. Can aggravate Pitta and Vata.",D021
f_106,"Brinjal-13","Eggplant|Baingan|Vankaya","Kapha,Vata","pungent,sweet","light,dry",heating,all,29,4.51,1.49,0.31,"Heating and drying. Can aggravate Pitta and Vata.",D022
f_107,"Brinjal-14","Eggplant|Baingan|Vankaya","Kapha,Vata","pungent,sweet","light,dry",heating,all,25,3.27,1.56,0.35,"Heating and drying. Can aggravate Pitta and Vata.",D023
f_108,"Brinjal-15","Eggplant|Baingan|Vankaya","Kapha,Vata","pungent,sweet","light,dry",heating,all,27,3.96,1.58,0.29,"Heating and drying. Can aggravate Pitta and Vata.",D024
f_109,"Brinjal-16","Eggplant|Baingan|Vankaya","Kapha,Vata","pungent,sweet","light,dry",heating,all,25,3.46,1.26,0.34,"Heating and drying. Can aggravate Pitta and Vata.",D025
f_110,"Brinjal-17","Eggplant|Baingan|Vankaya","Kapha,Vata","pungent,sweet","light,dry",heating,all,22,2.89,1.18,0.36,"Heating and drying. Can aggravate Pitta and Vata.",D026
f_111,"Brinjal-18","Eggplant|Baingan|Vankaya","Kapha,Vata","pungent,sweet","light,dry",heating,all,28,4.10,1.47,0.33,"Heating and drying. Can aggravate Pitta and Vata.",D027
f_112,"Brinjal-19","Eggplant|Baingan|Vankaya","Kapha,Vata","pungent,sweet","light,dry",heating,all,24,3.39,1.26,0.31,"Heating and drying. Can aggravate Pitta and Vata.",D028
f_113,"Brinjal-20","Eggplant|Baingan|Vankaya","Kapha,Vata","pungent,sweet","light,dry",heating,all,24,3.15,1.44,0.34,"Heating and drying. Can aggravate Pitta and Vata.",D029
f_114,"Brinjal-21","Eggplant|Baingan|Vankaya","Kapha,Vata","pungent,sweet","light,dry",heating,all,27,3.93,1.36,0.35,"Heating and drying. Can aggravate Pitta and Vata.",D030
f_115,"Brinjal - all varieties","Eggplant|Baingan|Vankaya","Kapha,Vata","pungent,sweet","light,dry",heating,all,25,3.52,1.48,0.32,"Heating and drying. Can aggravate Pitta and Vata.",D031
f_116,"Broad beans","Bakla|Avarai",Vata,"astringent,sweet","heavy,dry",cooling,winter,29,2.11,3.85,0.15,"Very Vata-aggravating. Difficult to digest.",D032
f_117,"Capsicum, green","Shimla Mirch|Koda Milagai","Vata,Pitta,Kapha",pungent,"light,dry",heating,all,16,1.84,1.11,0.34,"Can aggravate all three doshas. Pitta-aggravating.",D033
f_118,"Capsicum, red","Red Bell Pepper","Pitta,Kapha,Vata","sweet,pungent","light,dry",heating,all,20,2.14,1.47,0.47,"Sweeter and more Pitta-aggravating than green.",D034
f_119,"Capsicum, yellow","Yellow Bell Pepper","Pitta,Kapha,Vata","sweet,pungent","light,dry",heating,all,19,1.95,1.35,0.41,"Sweetest of the bell peppers.",D035
f_120,"Cauliflower","Phul Gobi|Pookosu","Kapha,Pitta","astringent,sweet","light,dry",cooling,winter,23,2.03,2.15,0.44,"Can be gassy and aggravate Vata if not cooked well.",D036
f_121,"Celery stalk","Celery","Vata,Kapha","bitter,pungent","light,dry",cooling,winter,17,2.33,0.98,0.24,"Good for Kapha, but increases Vata.",D037
f_122,"Cho-cho-marrow","Chow-Chow|Bangalore Brinjal","Pitta,Kapha",sweet,"light,unctuous",cooling,monsoon,19,3.47,0.66,0.15,"Cooling and hydrating.",D038
f_123,"Cluster beans","Guar|Gawar|Kothavaranga","Vata,Kapha","astringent,sweet","heavy,dry",cooling,monsoon,40,4.91,3.55,0.37,"Very drying. Increases Vata.",D039
f_124,"Colocasia, stem, black","Arvi ke Kade|Chembin Thandu","Vata,Pitta",sweet,"heavy,unctuous",cooling,monsoon,24,3.83,0.76,0.34,"Increases Kapha. Must be cooked well.",D040
f_125,"Colocasia, stem, green","Arvi ke Kade|Chembin Thandu","Vata,Pitta",sweet,"heavy,unctuous",cooling,monsoon,19,2.86,0.91,0.22,"Increases Kapha. Must be cooked well.",D041
f_126,"Corn, baby","Baby Corn",Vata,"sweet,astringent","light,dry",heating,monsoon,73,11.66,2.69,1.33,"Drying. Can increase Vata.",D042
f_127,"Cucumber, green, elongate","Kheera|Dosakaya|Vellarikkai",Pitta,"sweet,astringent","light,unctuous",cooling,summer,20,3.48,0.71,0.16,"Very cooling. Excellent for Pitta.",D043
f_128,"Cucumber, green, short","Kheera|Dosakaya|Vellarikkai",Pitta,"sweet,astringent","light,unctuous",cooling,summer,17,2.82,0.83,0.18,"Very cooling. Excellent for Pitta.",D044
f_129,"Cucumber, orange, round","Dosakaya",Pitta,"sweet,sour","light,unctuous",cooling,summer,20,3.01,0.98,0.24,"Also known as Yellow Cucumber. Cooling.",D045
f_130,"Drumstick","Saijan|Murungakkai|Mulakaada","Kapha,Vata","pungent,bitter","light,dry,sharp",heating,all,29,3.76,2.62,0.12,"Cleansing and heating. Increases Pitta.",D046
f_131,"Field beans, tender, broad","Sem|Avarai",Vata,"astringent,sweet","heavy,dry",cooling,winter,31,2.75,3.06,0.64,"Vata-aggravating.",D047
f_132,"Field beans, tender, lean","Sem|Avarai",Vata,"astringent,sweet","heavy,dry",cooling,winter,34,2.85,3.71,0.60,"Vata-aggravating.",D048
f_133,"French beans, country","Beans|Fansi","Vata,Pitta,Kapha","sweet,astringent","light,dry",cooling,all,24,2.68,2.49,0.26,"Drying. Can increase Vata.",D049
f_134,"French beans, hybrid","Beans","Vata,Pitta,Kapha","sweet,astringent","light,dry",cooling,all,22,2.63,2.12,0.19,"Drying. Can increase Vata.",D050
f_135,"Jack fruit, raw","Kacha Kathal|Panasa Kaya","Vata,Kapha","astringent,sweet","heavy,dry",cooling,summer,26,3.48,1.98,0.35,"Heavy and Vata-aggravating.",D051
f_136,"Jack fruit, seed, mature","Kathal Beej|Panasa Ginjalu","Vata,Kapha","sweet,astringent","heavy,dry",heating,summer,77,11.81,5.79,0.44,"Heavy and hard to digest.",D052
f_137,"Knol - Khol","Kohlrabi|Ganth Gobi|Noolkol","Kapha,Pitta","sweet,astringent","light,dry",cooling,winter,16,1.39,1.58,0.35,"Cooling and light. Can increase Vata.",D053
f_138,"Kovai, big","Ivy Gourd|Tindora|Dondakaya","Kapha,Pitta","sweet,astringent","light,dry",cooling,all,17,2.01,1.39,0.24,"Good for balancing Kapha and Pitta.",D054
f_139,"Kovai, small","Ivy Gourd|Tindora|Dondakaya","Kapha,Pitta","sweet,astringent","light,dry",cooling,all,19,2.41,1.22,0.24,"Good for balancing Kapha and Pitta.",D055
f_140,"Ladies finger","Okra|Bhindi|Vendakkai","Vata,Pitta","sweet,astringent","heavy,unctuous,slimy",cooling,summer,28,3.62,2.08,0.22,"Slimy quality is good for Vata and Pitta. Increases Kapha.",D056
f_141,"Mango, green, raw","Kacha Aam|Mamidi Kaya|Mangai",Pitta,"sour,astringent","light,dry",heating,summer,49,10.59,0.69,0.08,"Very sour and heating. Strongly increases Pitta.",D057
f_142,"Onion, stalk","Spring Onion|Hara Pyaz|Ulli Kadalu","Vata,Kapha","pungent,sweet","light,sharp",heating,winter,26,2.99,2.07,0.26,"Lighter and less Pitta-aggravating than bulb.",D058
f_143,"Papaya, raw","Kacha Papita|Boppayi Kaya","Kapha,Pitta","pungent,bitter","light,dry",heating,all,24,4.40,0.50,0.23,"Heating. Good for digestion. Increases Pitta.",D059
f_144,"Parwar","Pointed Gourd|Parwal|Potlakaya","Vata,Pitta,Kapha",sweet,"light,unctuous",cooling,monsoon,24,3.54,1.40,0.30,"Tridoshic. Easy to digest.",D060
f_145,"Peas, fresh","Matar|Batani","Vata,Kapha","sweet,astringent","light,dry",cooling,winter,81,11.88,7.25,0.13,"Can be Vata-aggravating.",D061
f_146,"Plantain, flower","Banana Flower|Vazhapoo|Arati Puvvu","Pitta,Kapha","astringent,bitter","dry,light",cooling,all,21,2.15,1.47,0.63,"Astringent. Good for Pitta.",D062
f_147,"Plantain, green","Kacha Kela|Arati Kaya|Vazhakkai","Vata,Kapha","astringent,sweet","heavy,dry",cooling,all,80,17.58,1.18,0.23,"Very astringent and drying. Increases Vata.",D063
